ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
4692,1/28/16 19:00,USA,Portland,OR,Circle,"Saw three orange circles near each other and then they spread apart but 
weren't definitely airplanes or stars. They were slowly moving.",45.5202471,-122.6741948,01/28/16,19:00
112,12/07/2016 18:53,USA,Las Vegas,NV,Other,"Pyramid or triangle or similar shape.. maybe rotating silent floating over 
us 95 and Decatur, going south.. south east.",36.1662859,-115.1492249,12/07/2016,18:53
518,11/06/2016 20:15,USA,Las Vegas,NV,Circle,Dancing orbs.,36.1662859,-115.1492249,11/06/2016,20:15
1072,9/30/16 15:30,USA,Las Vegas,NV,Other,"((NUFORC Note: No information provided by source, who elects to remain 
anonymous. PD))",36.1662859,-115.1492249,09/30/16,15:30
1202,9/23/16 17:30,USA,Las Vegas,NV,Other,Strange Lights over Frenchman Mountain Range in Las Vegas.,36.1662859,-115.1492249,09/23/16,17:30
1271,9/18/16 23:00,USA,Las Vegas,NV,Other,"Object moved south west from miserable Airport passing over mountain near 
German high school passing three aircraft moving East to west",36.1662859,-115.1492249,09/18/16,23:00
2002,08/08/2016 08:00,USA,Las Vegas,NV,Triangle,"Object observed from flight from Las Vegas to Vancouver. ((NUFORC Note: 
Nice photo of approaching B2 bomber. PD))",36.1662859,-115.1492249,08/08/2016,08:00
2081,08/02/2016 22:00,USA,Las Vegas,NV,Light,Flashing/pulsing green light in northwest vegas sky.,36.1662859,-115.1492249,08/02/2016,22:00
2279,7/27/16 06:00,USA,Las Vegas,NV,Light,"At around 6:00 pm, I was on my balcony in central Las Vegas. I saw a light 
traveling east to west, go into a cloud, then come out to th",36.1662859,-115.1492249,07/27/16,06:00
2370,7/22/16 02:45,USA,Las Vegas,NV,Light,"Bright white light streak, traveling at a extremely high rate of speed. 
Vanished into thin air. ((anonymous report))",36.1662859,-115.1492249,07/22/16,02:45
2488,7/13/16 23:34,USA,Las Vegas,NV,Triangle,"On the night of Wednesday the 13th of July 2016, I was outside taking my 
dog out to use the restroom. When I noticed some electrical in",36.1662859,-115.1492249,07/13/16,23:34
2839,6/25/16 00:45,USA,Las Vegas,NV,Other,"Brief brilliant flash of light in the SW sky in Vegas. Like a light burning 
out.",36.1662859,-115.1492249,06/25/16,00:45
2964,6/13/16 23:45,USA,Las Vegas,NV,Light,light lightspeed vanished. ((anonymous report)),36.1662859,-115.1492249,06/13/16,23:45
3090,06/04/2016 20:30,USA,Las Vegas,NV,Light,"Round, white, non-blinking light traveling from the SW to the NW.",36.1662859,-115.1492249,06/04/2016,20:30
3129,06/02/2016 03:55,USA,Las Vegas,NV,Fireball,"Large fireball with long tail traveling north to south s.e. of Vegas. 
((NUFORC Note: Reported to have been a meteor. PD))",36.1662859,-115.1492249,06/02/2016,03:55
3132,06/01/2016 22:45,USA,Las Vegas,NV,Other,"Spaceship like something we could make soon, very basic",36.1662859,-115.1492249,06/01/2016,22:45
3464,05/04/2016 21:00,USA,Las Vegas,NV,Other,"I was outside with my dog I always look up in the sky at night I saw what 
looked like a planet size but it was blue,i kept looking at",36.1662859,-115.1492249,05/04/2016,21:00
3808,04/02/2016 22:55,USA,Las Vegas,NV,Triangle,"Triangle shaped object hovering in sky colors red, white, green and blue 
with a tail. 10 minutes hovered before moving slowly",36.1662859,-115.1492249,04/02/2016,22:55
4176,03/04/2016 19:09,USA,Las Vegas,NV,Other,"Was out in front of the house and I looked up and I seen this bright white 
egg like shape going though the clouds and it was going at a",36.1662859,-115.1492249,03/04/2016,19:09
4230,03/01/2016 05:57,USA,Las Vegas,NV,Fireball,"Driving down Decatur Sahara. Right in front of my driving view I notice a 
blue and orange flying fireball. Coming from Charleston towar",36.1662859,-115.1492249,03/01/2016,05:57
4778,1/20/16 17:20,USA,Las Vegas,NV,Other,"Blinking red, green and blue lights. ((NUFORC Note: Possibly a ""twinkling"" 
star?? PD))",36.1662859,-115.1492249,01/20/16,17:20
4901,01/08/2016 02:23,USA,Las Vegas,NV,Light,Green blinking light in the sky.,36.1662859,-115.1492249,01/08/2016,02:23
4932,01/05/2016 21:35,USA,Las Vegas,NV,Triangle,"Driving on 95S, saw a triangle with an inverted bottom, outlined in chasing 
white lights. ((NUFORC Note: Former law enforcement. PD))",36.1662859,-115.1492249,01/05/2016,21:35
5011,01/01/2016 00:15,USA,Las Vegas,NV,Other,"Red orbs after the New Year's eve celebration. Flying over the Las Vegas 
Valley.",36.1662859,-115.1492249,01/01/2016,00:15
5017,01/01/2016 00:05,USA,Las Vegas,NV,Light,"My wife and I witnessed 3 bright red objects that rose one behind the other 
shortly after midnight.",36.1662859,-115.1492249,01/01/2016,00:05
177,11/29/16 22:15,USA,Colorado Springs,CO,Triangle,"((HOAX?)) I saw a big triangle with 3 lights on each side, no light in the 
middle; similar to TR-3B, but w/o lights.((anonyous report))",38.8339578,-104.8253484,11/29/16,22:15
